time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073913
0.015000,0.523375
0.020000,-0.426419
0.025000,0.916424
0.030000,-0.296237
0.035000,0.182526
0.040000,-0.569616
0.045000,0.309447
0.050000,-1.086222
0.055000,-0.000003
0.060000,0.410050
0.065000,-0.800611
0.070000,0.975337
0.075000,0.599153
0.080000,0.178824
0.085000,0.497363
0.090000,0.768753
0.095000,-0.036049
0.100000,0.836604
0.105000,1.053580
0.110000,0.314060
0.115000,0.049779
0.120000,-0.149822
0.125000,-0.106017
0.130000,-1.012512
0.135000,-0.070391
0.140000,0.064975
0.145000,0.412858
0.150000,0.250758
0.155000,-0.610612
0.160000,0.439246
0.165000,-0.075820
0.170000,0.314067
0.175000,0.882300
0.180000,0.061088
0.185000,-0.648964
0.190000,-0.680261
0.195000,-0.023585
0.200000,0.695321
0.205000,-0.663180
0.210000,-0.498581
0.215000,0.155674
0.220000,-0.745180
0.225000,-0.187652
0.230000,0.078067
0.235000,-0.301403
0.240000,-0.252709
0.245000,-0.537499
0.250000,-0.081780
0.255000,-0.688052
0.260000,0.194521
0.265000,-0.268083
0.270000,-0.407808
0.275000,-0.506060
0.280000,0.090042
0.285000,0.252229
0.290000,-0.520411
0.295000,-0.285134
0.300000,-0.032009
0.305000,-0.313447
0.310000,0.599094
0.314999,-0.020813
0.319999,0.530601
0.324999,0.519601
0.329999,0.594317
0.334999,-0.111327
0.339999,-0.269197
0.344999,-0.042077
0.349999,-0.621588
0.354999,-0.199803
0.359999,0.125073
0.364999,0.502492
0.369999,1.156945
0.374999,0.259563
0.379999,-0.181714
0.384999,-0.632048
0.389999,0.282060
0.394998,0.170397
0.399998,-0.025067
0.404998,-0.831983
0.409998,0.231280
0.414998,-0.233153
0.419998,0.430200
0.424998,0.087852
0.429998,-0.554867
0.434998,-0.336893
0.439998,-0.228205
0.444998,0.038858
0.449998,-1.002565
0.454998,-1.229714
0.459998,0.025346
0.464998,0.346585
0.469997,-0.575795
0.474997,-0.517463
0.479997,0.876848
0.484997,0.182254
0.489997,-0.630810
0.494997,-0.132127
0.499997,-0.284030
0.504997,0.315834
0.509997,-0.391408
0.514997,0.219189
0.519997,-0.101491
0.524997,0.013090
0.529997,-0.632226
0.534997,0.096451
0.539997,0.389306
0.544997,0.196551
0.549996,-0.615295
0.554996,0.056635
0.559996,-0.495275
0.564996,0.388006
0.569996,-0.882861
0.574996,-0.053748
0.579996,-0.083198
0.584996,-0.066145
0.589996,0.358103
0.594996,0.430471
0.599996,-0.976542
0.604996,0.054894
0.609996,-0.305806
0.614996,0.099928
0.619996,0.352984
0.624996,-0.266167
0.629995,0.499003
0.634995,0.086078
0.639995,-1.071089
